fetched_at_sgt,ride,status,wait_time,last_updated
2026-07-19T17:24:08+08:00,HUMAN,OPERATING,80,2026-07-19T09:08:17.487Z
2026-07-19T17:24:08+08:00,CYLON,OPERATING,80,2026-07-19T08:39:37.599Z
2026-07-19T18:24:01+08:00,HUMAN,OPERATING,50,2026-07-19T10:05:22.171Z
2026-07-19T18:24:01+08:00,CYLON,OPERATING,70,2026-07-19T10:08:31.489Z
2026-07-19T19:23:43+08:00,HUMAN,OPERATING,0,2026-07-19T11:08:50.751Z
2026-07-19T19:23:43+08:00,CYLON,OPERATING,0,2026-07-19T11:05:55.403Z
2026-07-20T10:23:56+08:00,HUMAN,OPERATING,40,2026-07-20T02:18:24.285Z
2026-07-20T10:23:56+08:00,CYLON,OPERATING,40,2026-07-20T02:10:41.865Z
2026-07-20T11:23:55+08:00,HUMAN,OPERATING,80,2026-07-20T02:35:28.501Z
2026-07-20T11:23:55+08:00,CYLON,OPERATING,90,2026-07-20T03:18:52.678Z
2026-07-20T12:23:50+08:00,HUMAN,OPERATING,80,2026-07-20T02:35:28.501Z
2026-07-20T12:23:50+08:00,CYLON,OPERATING,90,2026-07-20T03:18:52.678Z
2026-07-20T13:24:09+08:00,HUMAN,OPERATING,120,2026-07-20T05:06:58.521Z
2026-07-20T13:24:09+08:00,CYLON,OPERATING,110,2026-07-20T04:24:12.011Z
2026-07-20T14:23:49+08:00,HUMAN,OPERATING,90,2026-07-20T05:51:30.035Z
2026-07-20T14:23:49+08:00,CYLON,OPERATING,100,2026-07-20T05:42:48.066Z
2026-07-20T15:24:10+08:00,HUMAN,OPERATING,0,2026-07-20T07:19:56.592Z
2026-07-20T15:24:10+08:00,CYLON,OPERATING,70,2026-07-20T06:52:12.513Z
2026-07-20T16:24:11+08:00,HUMAN,OPERATING,45,2026-07-20T08:09:34.090Z
2026-07-20T16:24:11+08:00,CYLON,OPERATING,60,2026-07-20T08:01:30.605Z
2026-07-20T17:24:15+08:00,HUMAN,OPERATING,80,2026-07-20T08:43:07.341Z
2026-07-20T17:24:15+08:00,CYLON,OPERATING,70,2026-07-20T08:45:53.726Z
2026-07-20T18:24:21+08:00,HUMAN,OPERATING,90,2026-07-20T09:44:58.637Z
2026-07-20T18:24:21+08:00,CYLON,OPERATING,80,2026-07-20T09:44:58.629Z
2026-07-20T19:24:08+08:00,HUMAN,OPERATING,70,2026-07-20T11:15:08.580Z
2026-07-20T19:24:08+08:00,CYLON,OPERATING,80,2026-07-20T09:44:58.629Z
2026-07-21T10:24:12+08:00,HUMAN,OPERATING,40,2026-07-21T02:18:17.791Z
2026-07-21T10:24:12+08:00,CYLON,OPERATING,40,2026-07-21T02:21:58.907Z
